publisher,doi,save_as,title,link
10.1007,10.1007/s10462-023-10415-5,pdf/s10462-023-10415-5.pdf,"Trustworthy artificial intelligence in Alzheimer’s disease: state of the art, opportunities, and challenges",https://doi.org/gtnpbk
10.1080,10.1080/1206212x.2017.1418237,pdf/1206212x_2017_1418237.pdf,Distributed electronic health record based on semantic interoperability using fuzzy ontology: a survey,https://doi.org/g9cmdt
10.1111,10.1111/MICE.13015,pdf/MICE_13015.pdf,Explainable probabilistic deep learning framework for seismic assessment of structures using distribution‐free prediction intervals,https://doi.org/gt2k5p
10.1155,10.1155/2018/6235379,pdf/2018_6235379.pdf,Priority-Based Cloud Computing Architecture for Multimedia-Enabled Heterogeneous Vehicular Users,https://doi.org/g9cmdw
10.1155,10.1155/2021/8439655,pdf/2021_8439655.pdf,The Role of Medication Data to Enhance the Prediction of Alzheimer’s Progression Using Machine Learning,https://doi.org/g6srcw
10.13088,10.13088/jiis.2024.30.2.025,pdf/jiis_2024_30_2_025.pdf,Integrating Digital Twin Technology with Dynamic Ensemble Learning for Sepsis Prediction in Intensive Care Units,https://doi.org/hb3f6s
10.1504,10.1504/ijmei.2015.070116,pdf/ijmei_2015_070116.pdf,A CBR system for diabetes mellitus diagnosis: case-base standard data model,https://doi.org/ggf9qc
10.1504,10.1504/ijmei.2020.107081,pdf/ijmei_2020_107081.pdf,A semantic interoperability framework for distributed electronic health record based on fuzzy ontology,https://doi.org/g9cmc5
10.1504,10.1504/ijmei.2020.109942,pdf/ijmei_2020_109942.pdf,A framework for disease diagnosis based on fuzzy semantic ontology approach,https://doi.org/gkdbms
10.19101,10.19101/ijacr.2018.834003,pdf/ijacr_2018_834003.pdf,A framework for chronic kidney disease diagnosis based on case based reasoning,https://doi.org/g9cmdx
10.3390,10.3390/diagnostics11071155,pdf/diagnostics11071155.pdf,Comprehensive Survey of Using Machine Learning in the COVID-19 Pandemic,https://doi.org/gnr6cf
10.3837,10.3837/TIIS.2008.05.001,pdf/TIIS_2008_05_001.pdf,Two-level Key Pool Design-based Random Key Pre-distribution in Wireless Sensor Networks,https://doi.org/bpq7d3
10.4018,10.4018/978-1-61350-110-8.ch010,pdf/978-1-61350-110-8_ch010.pdf,Computationally Efficient Cooperative Public Key Authentication Protocols in Ubiquitous Sensor Network,https://doi.org/cjh563
10.4018,10.4018/ijdsst.2016070103,pdf/ijdsst_2016070103.pdf,Medical Case Based Reasoning Frameworks,https://doi.org/gkdb4f
10.4018,10.4018/ijskd.2020010106,pdf/ijskd_2020010106.pdf,A Proposed Frequent Itemset Discovery Algorithm Based on Item Weights and Uncertainty,https://doi.org/g9cmc2
10.5120,10.5120/ijca2020920274,pdf/ijca2020920274.pdf,A Real-time Framework for Patient Monitoring Systems based on a Wireless Body Area Network,https://doi.org/g9cmcx
ACM,10.1145/3243734.3243738,pdf/3243734_3243738.pdf,Large-Scale and Language-Oblivious Code Authorship Identification,https://doi.org/gnrn69
ACM,10.1145/3461666,pdf/3461666.pdf,Large-scale and Robust Code Authorship Identification with Deep Feature Learning,https://doi.org/gprnz3
ACM,10.1145/3488932.3527283,pdf/3488932_3527283.pdf,Black-box and Target-specific Attack Against Interpretable Deep Learning Systems,https://doi.org/g4n9xv
